"MuFuture","MuNow","BGANow","BGAFuture","BGAFutureL","BGANowL","Temp","PAR","Stability","Wind","TempDiff","TempAcc","TempJerk","ChlaNowL","ChlaFutureL","BGAShlwMean","PARTemp","Ph","Dates"
0.0860746087712427,-0.0720073737058846,10.4,9.7,2.27168394885327,2.34369132255915,19,696,0.104490915379744,17.4,0.000863471742421899,-8.35582505883238e-07,-1.67693919921043e-07,1.25276296849537,0.955511445027436,2.34693419329046,1323,18.9,2015-09-02 13:10:00
0.0765400771223343,-0.0719432651512473,10.5,9.5,2.27190779104137,2.34385105619262,19,1357,0.103198398235067,18.8,0.000864723048937768,-1.00330392444368e-06,-1.73475611132082e-07,1.28093384546206,0.955511445027436,2.34706704834579,2664.9,18.9,2015-09-02 13:20:00
0.110000895214329,-0.0718978659685727,10.6,9.6,2.27211831614359,2.34401618211216,19,997,0.101920150459291,22,0.000865791892502235,-1.17647997081589e-06,-1.79225303027624e-07,1.28093384546206,0.955511445027436,2.34733270551677,2627.1,18.9,2015-09-02 13:30:00
0.11247798342669,-0.0718710841698806,10.4,9.4,2.27231557342438,2.34418665759426,19,818,0.100656448661713,15.6,0.000866671494286741,-1.35508312038978e-06,-1.84939432006236e-07,1.22377543162212,0.993251773010283,2.34733270551677,1984.5,18.9,2015-09-02 13:40:00
0.0444517625708336,-0.0718628209087373,10.6,9.2,2.27249961623066,2.3443624371394,19,698,0.0994075596787994,22.3,0.000867355130379905,-1.53908251253446e-06,-1.90614502980703e-07,1.28093384546206,0.993251773010283,2.34713346925511,1360.8,18.9,2015-09-02 13:50:00
0.0682082500265335,-0.0718729705250203,10.3,9.1,2.27267050197051,2.34454347249553,19,1234,0.098173740569487,17.5,0.000867836135909222,-1.72844400892153e-06,-1.96247091551859e-07,1.22377543162212,0.993251773010283,2.34726629784002,3724,19,2015-09-02 14:00:00
0.0870113769896297,-0.0719014205917117,9.9,9.6,2.27282829209096,2.34472971268267,19,637,0.096955238615207,14.2,0.000868107909059257,-1.92313025388529e-06,-2.01833846058702e-07,1.25276296849537,0.955511445027436,2.34700062302443,1197,19,2015-09-02 14:10:00
0.162518929497775,-0.0719480519636968,9.9,10,2.27297305205492,2.34492110401861,19,602,0.0957522913245647,20,0.000868163914981518,-2.12310073670997e-06,-2.07371489506081e-07,1.22377543162212,0.916290731874155,2.34633612702018,935.9,19.1,2015-09-02 14:20:00
0.0870113769896297,-0.0720127388285623,10.3,9.6,2.27310485131717,2.34511759014573,19,726,0.0945651264426,11.5,0.00086799768959492,-2.3283118556103e-06,-2.12856821372795e-07,1.25276296849537,0.955511445027436,2.3462031748163,1184.2,19.1,2015-09-02 14:30:00
0.130620182417065,-0.0720953487593743,9.7,9.8,2.2732237632995,2.34531911205888,19,613,0.093393961964555,15.7,0.000867602843276825,-2.53871698356904e-06,-2.18286719289692e-07,1.25276296849537,0.993251773010283,2.34547162156318,1126.9,19.1,2015-09-02 14:40:00
0.129211731480007,-0.07219574276942,10.4,9.9,2.27332986536487,2.34552560813429,19,569,0.092239006154076,14.1,0.000866973064436746,-2.75426653557887e-06,-2.23658140599373e-07,1.25276296849537,0.993251773010283,2.34520546945568,1031.4,19.1,2015-09-02 14:50:00
0.130620182417065,-0.0723137753688978,10.4,9.8,2.27342323879063,2.34573701415953,19,963,0.091100457565773,13.6,0.000866102122981148,-2.97490803750683e-06,-2.28968123786594e-07,1.30833281965018,0.955511445027436,2.34493924649238,1986.4,19.1,2015-09-02 15:00:00
0.0638514719865326,-0.0724492946235458,10.7,9.7,2.27350396874086,2.3459532633644,19,708,0.0899785050720602,14.8,0.000864983873653188,-3.20058619630268e-06,-2.34213789785291e-07,1.33500106673234,0.993251773010283,2.34507236683336,1337,19.1,2015-09-02 15:10:00
0.043017385083691,-0.0726021422151746,10.6,9.5,2.27357214423768,2.34617428645286,19,512,0.0888733278942,14.9,0.000863612259264202,-3.43124297142464e-06,-2.39392343161339e-07,1.3609765531356,0.993251773010283,2.34527201412381,802.2,19.1,2015-09-02 15:20:00
0.105360515657826,-0.0727721535041135,10.7,10,2.27362785813167,2.34640001163579,19,627,0.0877850956374723,11.9,0.000861981313798908,-3.66681764753436e-06,-2.44501073166527e-07,1.30833281965018,0.993251773010283,2.34533855436405,1184.2,19.1,2015-09-02 15:30:00
0.0870113769896297,-0.0729591575935302,11,9.6,2.27367120707122,2.34663036466475,19,715,0.0867139683303898,13.6,0.000860085165404763,-3.90724690817543e-06,-2.49537354675158e-07,2.04122032885964,0.993251773010283,2.34573770285258,1050.5,19.1,2015-09-02 15:40:00
0.0659579677917974,-0.0731629773956195,10.5,9.4,2.27370229147093,2.34686526886655,19,542,0.085660096467879,11.6,0.000857918039258982,-4.15246491042721e-06,-2.54498648990658e-07,1.48160454092422,0.993251773010283,2.34580421211402,864,19.2,2015-09-02 15:50:00
0.0327898228229908,-0.0733834296996343,11.1,9.3,2.27372121547907,2.34710464517871,19,419,0.0846236210583473,10,0.000855474260314347,-4.40240336045363e-06,-2.59382504531479e-07,1.3609765531356,0.993251773010283,2.34600371336157,614.4,19.2,2015-09-02 16:00:00
