"MuFuture","MuNow","BGANow","BGAFuture","BGAFutureL","BGANowL","Temp","PAR","Stability","Wind","TempDiff","TempAcc","TempJerk","ChlaNowL","ChlaFutureL","BGAShlwMean","PARTemp","Ph","Turb","Cond","Dates"
-0.095310179804325,-0.180087298369888,2.3,2,0.690578015773858,0.870665314143746,17.3,94.3454489169888,0.0349156408218344,8.7,0.00303628778917352,1.00903907255552e-05,-9.58852234669418e-08,1.25276296849537,1.33500106673234,0.83079335971574,205.2,17.1,7.7,501,2014-06-22 06:00:00
-0.095310179804325,-0.182546792148985,2.2,2,0.688106335554693,0.870653127703678,17.3,94.0431636190156,0.0345922262780558,6.9,0.00304635546144737,9.99443659967881e-06,-9.59524986056081e-08,1.25276296849537,1.33500106673234,0.831095885810923,239.4,17.1,7,500,2014-06-22 06:15:00
-0.139761942375159,-0.185003898888092,2.2,2,0.685621437340181,0.870625336228272,17.3,93.736088034417,0.0342951823894272,8,0.00305632623776594,9.89822205309937e-06,-9.60176120358536e-08,1.22377543162212,1.33500106673234,0.831398320411747,393.3,17.1,7.1,500,2014-06-22 06:30:00
-0.095310179804325,-0.187458416229771,2.3,2,0.683123466375632,0.870581882605403,17.3,93.4243238137889,0.0340247129638403,8.4,0.00306620068737702,9.80175372719078e-06,-9.60827646943565e-08,1.25276296849537,1.30833281965018,0.8326071449772,359.1,17.1,7,500,2014-06-22 06:45:00
-0.048790164169432,-0.189910140035885,2.2,2,0.680612569552681,0.870522709588566,17.3,93.1079746071188,0.0337810160565459,6.9,0.00307597936208344,9.70503624311397e-06,-9.61500960593951e-08,1.25276296849537,1.38629436111989,0.83321100972985,427.5,17.1,7,500,2014-06-22 07:00:00
-0.095310179804325,-0.192358864432215,2.1,2,0.678088895383512,0.870447759815727,17.3,92.7871460220174,0.0335642838067439,8.2,0.00308566279356774,9.60807225488966e-06,-9.62216823284189e-08,1.25276296849537,1.33500106673234,0.83321100972985,820.8,17.1,6.9,500,2014-06-22 07:15:00
-0.146603474191876,-0.194804381854486,2.2,1.9,0.675552593974377,0.870356975828863,17.3,92.4619455815751,0.0333747022749475,7.9,0.00309525149080555,9.51086250430198e-06,-9.62995346996565e-08,1.22377543162212,1.28093384546206,0.833814510049917,410.4,17.1,7,500,2014-06-22 07:30:00
-0.0465200156348929,-0.197246483095772,2.2,2.1,0.673003816998395,0.870250300094167,17.3,92.1324826818571,0.0332124512812528,7.9,0.0031047459375749,9.41340587764941e-06,-9.63855977530485e-08,1.25276296849537,1.22377543162212,0.834116123685139,444.6,17.1,7,500,2014-06-22 07:45:00
-0.200670695462151,-0.199684957355276,2.2,1.8,0.670442717667641,0.870127675022917,17.3,91.7988685490557,0.0330777042446447,7.7,0.00311414659005853,9.31569946410689e-06,-9.64817479290992e-08,1.22377543162212,1.25276296849537,0.834417646377006,923.4,17.1,7,500,2014-06-22 08:00:00
-0.146603474191876,-0.202119592288456,2.2,1.9,0.667869450704531,0.869989042992987,17.3,91.4612161963125,0.0329706280234712,7.6,0.00312345387454247,9.21773861574268e-06,-9.65897921075548e-08,1.25276296849537,1.25276296849537,0.834719078180344,974.7,17.1,6.8,500,2014-06-22 08:15:00
-0.233614851181505,-0.204550174058494,2.2,1.9,0.66528417231248,0.869834346370974,17.3,91.1196403802273,0.0328913827572168,7.3,0.00313266818521441,9.11951700902232e-06,-9.67114662845549e-08,1.25276296849537,1.22377543162212,0.835020419149928,1162.8,17.1,7.1,500,2014-06-22 08:30:00
-0.146603474191876,-0.206976487389081,2.4,1.9,0.662687040145863,0.869663527534944,17.3,90.7742575570659,0.0328401217097043,6.5,0.00314178988205647,9.0210267077931e-06,-9.68484343420698e-08,1.25276296849537,1.22377543162212,0.834719078180344,1350.9,17.1,7,500,2014-06-22 08:45:00
-0.146603474191876,-0.20939831561849,2.2,1.9,0.660078213279265,0.869476528897755,17.3,90.4251858386824,0.0328169911138559,6.9,0.00315081928884015,8.92225822753887e-06,-9.70022869180466e-08,1.28093384546206,1.1314021114911,0.834417646377006,974.7,17.1,7,500,2014-06-22 09:00:00
-0.344840486291729,-0.211815440754938,2.2,1.7,0.657457852176022,0.86927329293096,17.3,90.0725449481688,0.0328221300181413,7.1,0.00315975669122083,8.82320060095271e-06,-9.71745403645317e-08,1.25276296849537,1.25276296849537,0.834719078180344,714,17,6.9,501,2014-06-22 09:15:00
-0.0909717782057266,-0.214227643533196,2.4,2.1,0.654826118656061,0.869053762189257,17.3,89.7164561752445,0.0328556701348418,6.8,0.00316860233493316,8.72384144468143e-06,-9.73666358021312e-08,1.28093384546206,1.28093384546206,0.835020419149928,884,17,7,501,2014-06-22 09:30:00
-0.146603474191876,-0.21663470347244,2.3,1.9,0.652183175863036,0.868817879335476,17.3,89.3570423313983,0.0329177356902585,5.5,0.00317735642408626,8.62416702711554e-06,-9.75799382635454e-08,1.19392246847243,1.28093384546206,0.833814510049917,748,17,6.7,501,2014-06-22 09:45:00
-0.191055236762709,-0.219036398935304,2.2,1.9,0.649529188230771,0.868565587166075,17.3,88.9944277047965,0.0330084432769893,8.1,0.00318601911956199,8.52416233727935e-06,-9.78157359255607e-08,1.28093384546206,1.30833281965018,0.83321100972985,598.5,17.1,7,500,2014-06-22 10:00:00
