"Dt","Rf","lm","blm","nlm","naive"
0.51,0.42,0.48,0.47,0.52,0.58
0.31,0.3,0.24,0.23,0.25,0.29
0.17,0.19,0.14,0.14,0.12,0.13
0.22,0.16,0.13,0.14,0.12,0.13
0.21,0.15,0.15,0.15,0.14,0.17
