"Dt","Rf","lm","blm","nlm","naive"
-4.05,-2.53,-3.58,-3.36,-4.24,-5.55
-0.93,-0.87,-0.14,-0.1,-0.32,-0.68
0.59,0.52,0.72,0.73,0.8,0.78
0.32,0.63,0.75,0.73,0.78,0.76
-0.36,0.35,0.33,0.34,0.43,0.11
