"Dt","Rf","lm","blm","nlm","naive"
0.45,0.46,0.52,0.53,0.52,0.55
0.4,0.39,0.44,0.43,0.43,0.44
0.92,0.91,0.95,0.95,0.95,0.96
0.86,0.86,0.94,0.93,0.94,0.93
0.77,0.76,0.84,0.84,0.85,0.85
