"Dt","Rf","lm","blm","nlm","naive"
0.75,0.7,0.83,0.8,0.83,0.82
0.72,0.7,0.78,0.78,0.77,0.78
0.93,0.88,0.97,0.97,0.97,0.97
0.95,0.91,0.97,0.97,0.97,0.97
0.87,0.85,0.91,0.89,0.91,0.91
