"Dt","Rf","lm","blm","nlm","naive"
-0.56,-0.45,-0.37,-0.3,-0.51,-0.81
-0.71,-0.57,-0.17,-0.16,-0.27,-0.44
0.82,0.64,0.83,0.83,0.88,0.88
0.7,0.69,0.85,0.83,0.87,0.86
0.56,0.55,0.61,0.62,0.69,0.63
