"Dt","Rf","lm","blm","nlm","naive"
0.49,0.39,0.68,0.66,0.69,0.84
0.44,0.28,0.23,0.21,0.25,0.27
0.21,0.25,0.2,0.19,0.19,0.2
0.26,0.25,0.18,0.18,0.18,0.19
0.26,0.18,0.2,0.2,0.22,0.31
