"Dt","Rf","lm","blm","nlm","naive"
-0.16,-0.2,-0.27,-0.27,-0.29,-0.24
0.34,0.2,0.41,0.41,0.39,0.38
0.84,0.87,0.93,0.94,0.93,0.94
0.7,0.84,0.9,0.89,0.91,0.89
0.31,0.6,0.74,0.74,0.74,0.71
