"Dt","Rf","lm","blm","nlm","naive"
0.9,0.88,0.92,0.92,0.92,0.92
0.92,0.94,0.95,0.95,0.95,0.95
0.85,0.95,0.96,0.96,0.96,0.96
0.99,0.99,0.99,0.99,0.99,0.99
0.92,0.98,0.98,0.98,0.98,0.98
