"Dt","Rf","lm","blm","nlm","naive"
0.26,0.25,0.24,0.24,0.26,0.28
0.27,0.25,0.22,0.22,0.23,0.24
0.11,0.16,0.11,0.11,0.09,0.09
0.15,0.15,0.1,0.11,0.1,0.1
0.12,0.13,0.12,0.12,0.1,0.11
