"Dt","Rf","lm","blm","nlm","naive"
-3.14,-1.62,-6.81,-6.51,-6.97,-10.98
-2.96,-0.65,-0.12,0.04,-0.28,-0.58
0.35,0.07,0.45,0.47,0.52,0.43
0,0.09,0.55,0.51,0.55,0.46
-1.13,-0.08,-0.36,-0.32,-0.56,-2.1
