"Dt","Rf","lm","blm","nlm","naive"
0.52,0.48,0.55,0.55,0.55,0.56
0.7,0.68,0.74,0.73,0.72,0.73
0.78,0.88,0.87,0.87,0.86,0.83
0.9,0.92,0.96,0.96,0.97,0.96
0.82,0.92,0.87,0.87,0.86,0.86
