"Dt","Rf","lm","blm","nlm","naive"
0.78,0.79,0.83,0.82,0.83,0.8
0.67,0.61,0.73,0.73,0.73,0.71
0.83,0.85,0.86,0.86,0.86,0.81
0.8,0.86,0.94,0.94,0.95,0.94
0.82,0.89,0.8,0.8,0.79,0.78
