"Dt","Rf","lm","blm","nlm","naive"
0.64,0.66,0.83,0.82,0.74,0.84
0.51,0.51,0.77,0.76,0.76,0.73
0.86,0.87,0.83,0.81,0.83,0.72
0.63,0.52,0.86,0.84,0.85,0.81
0.56,0.77,0.61,0.6,0.59,0.54
