"Dt","Rf","lm","blm","nlm","naive"
-0.48,-0.42,-0.7,-0.68,-0.65,-0.66
0.08,0.19,0.51,0.51,0.48,0.46
0.74,0.76,0.89,0.9,0.89,0.92
0.46,0.37,0.82,0.79,0.82,0.78
0.03,0.32,0.48,0.48,0.46,0.37
